"Storyteller","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Storyteller_","0179","Storyteller_0179","","","","在平息了骸骨九头蛇的不死之怒后，顽固的扎格列欧斯离自己的目标越来越近了，他要去到地上世界，此刻自己的生母所在的地方。","","",""
"Integrated","Storyteller_","0180","Storyteller_0180","","","","在这炙热的河流之后暗藏的无数的危险与挑战，在日后都将被一一战胜。","","",""
"Integrated","Storyteller_","0181","Storyteller_0181","","","","让我们想象一下，王子没走多远，就又落回了他父亲的房子…","","",""
"Integrated","Storyteller_","0182","Storyteller_0182","","","","想象一下吧，冥界王子很快就遭遇了他特有的悲惨死亡。","","",""
"Integrated","Storyteller_","0183","Storyteller_0183","","","","目前就没有什么好说好展示的了，因为扎格列欧斯又被残忍杀害了。","","",""
"Integrated","Storyteller_","0184","Storyteller_0184","","","","这样的话，我们坚定的冥界王子的冒险故事可就没法继续了啊……不过时间是会流逝的，在以后，故事一定会继续…","","",""
"Integrated","Storyteller_","0185","Storyteller_0185","","","","扎格列欧斯王子的冒险旅程才刚刚开始…","","",""
"Integrated","Storyteller_","0186","Storyteller_0186","","","","冥界王子的故事离结局还远着呢。不过接下来的部分还得等到下回再说了。","","",""
"Integrated","Storyteller_","0187","Storyteller_0187","","","","扎格列欧斯对抗死亡的故事会在日后继续。","","",""
"Integrated","Storyteller_","0188","Storyteller_0188","","","","王子前往地上世界的旅程将在下一阶段带来更多危险和惊喜，至于内容的话就以后再说吧。","","",""
"Integrated","Storyteller_","0204","Storyteller_0204","","","","冥界王子现在已经越来越熟练了。不过他当前还是被打败了。","","",""
"Integrated","Storyteller_","0205","Storyteller_0205","","","","假设一下我们机敏的王子没有活过九头蛇那关吧。","","",""
"Integrated","Storyteller_","0206","Storyteller_0206","","","","唉，巧舌如簧的扎格列欧斯…掉进一个长矛陷阱给扎死了？","","",""
"Integrated","Storyteller_","0207","Storyteller_0207","","","","然后，嗯，勇敢的王子大步迈进，即被七个烟火爆舞僵尸打死了，或之类的。","","",""
"Integrated","Storyteller_","0208","Storyteller_0208","","","","逃避责任的王子又遇到了命中注定的死亡，至于场面各位自行想象。","","",""
"Integrated","Storyteller_","0209","Storyteller_0209","","","","扎格列欧斯王子再一次前进，再一次遭遇不测，场面令人感到不适。","","",""
"Integrated","Storyteller_","0210","Storyteller_0210","","","","除此之外，还有另一个可怕的命运，我们现在最好先别提这个。","","",""
"Integrated","Storyteller_","0211","Storyteller_0211","","","","然后呢，嗯，一只个头不大，杀伤力惊人的小虫落在了九头蛇杀手扎格列欧斯身上，把他整死了，如何？","","",""
"Integrated","Storyteller_","0212","Storyteller_0212","","","","扎格列欧斯就是不长记性…这次他一个不小心，落入了冥河之中。","","",""
"Integrated","Storyteller_","0213","Storyteller_0213","","","","不屈不挠的王子依旧尝试着去续写这未完的故事…","","",""
"Integrated","Storyteller_","0214","Storyteller_0214","","","","不听劝告的王子打算再一次跨界，不过没用，这地方还没准备好接受他的到来呢。","","",""
"Integrated","Storyteller_","0215","Storyteller_0215","","","","就连炙热的水仙花平原也没法阻止不惧火的王子，不过，很不幸，王子又遭遇了不测。","","",""
"Integrated","Storyteller_","0216","Storyteller_0216","","","","一个人能有非常多的死法，而我们爱冒险的王子已经了解其中很大一部分了。","","",""
"Integrated","Storyteller_","0217","Storyteller_0217","","","","聪明的王子再一次逃过了死亡，故事进入了全新的节点，不过，没出预料，他又遭遇了悲惨不测。","","",""
"Integrated","Storyteller_","0218","Storyteller_0218","","","","这王国的拥有者，冥王哈迪斯，他说死亡是不可避免的。他的说法还是非常可信的。","","",""
"Integrated","Storyteller_","0219","Storyteller_0219","","","","急躁的王子一次又一次地从容赴死，这次也不例外。","","",""
"Integrated","Storyteller_","0230","Storyteller_0230","","","","在冒险到达了这么远的地方后，寻找地面的王子遭遇了无法描述的骇人挫折。","","",""
"Integrated","Storyteller_","0231","Storyteller_0231","","","","与命运抗衡的王子横穿至福乐土，他发现了令人沮丧的事实，这事实过于可怕我们还是以后再说吧。","","",""
"Integrated","Storyteller_","0232","Storyteller_0232","","","","打败了英雄后，扎格列欧斯离地表世界又近了一大步，然后他…他就被落石还是什么其他东西给送回家了。","","",""
"Integrated","Storyteller_","0233","Storyteller_0233","","","","在克服了至福乐土的种种艰难困苦之后，扎格列欧斯王子现在面临着更大的威胁…至于是什么我们以后再说。","","",""
"Integrated","Storyteller_","0234","Storyteller_0234","","","","胜利近在咫尺，而打败了牛头人的王子却被一大群看上去无害的啮齿动物给拿下了。","","",""
"Integrated","Storyteller_","0235","Storyteller_0235","","","","至福乐土浓厚的黑暗让人倍感窒息，于是被诅咒的王子因严重的头部撞伤而死亡。","","",""
"Integrated","Storyteller_","0236","Storyteller_0236","","","","就在刚才，冥界王子不顾一切地往前冲，最后撞上一道厚厚的夺命石墙，这墙被涂成了出口的模样。","","",""
"Integrated","Storyteller_","0237","Storyteller_0237","","","","通过了华丽的至福乐土，耐心的王子应当能找到自己的命运了，当然了，不是现在，因为——噢不，小心！","","",""
"Integrated","Storyteller_","0238","Storyteller_0238","","","","自信满满的王子没有注意脚下，嗯，然后踩到了一种有毒的真菌，非常稀有的植物，你肯定都没听过。","","",""
"Integrated","Storyteller_","0239","Storyteller_0239","","","","于是愉快的王子就快接近地表了，不过他速度太快了，所以接下来发生的事情就跟伊卡洛斯的故事差不多了。","","",""
"Integrated","Storyteller_","0240","Storyteller_0240","","","","在打败了雅典的英雄国王之后，顽固的扎格列欧斯离目标越来越近了，他要去到地上世界，此刻自己的生母所在的地方。","","",""
"Integrated","Storyteller_","0241","Storyteller_0241","","","","假设我们敏捷的王子没能从那个满嘴跑火车的最强战士那里活下来。","","",""
"Integrated","Storyteller_","0260","Storyteller_0260","","","","不知怎的王子打败了自己的父亲，可怕的死亡之神。这下目中无人的扎格列欧斯终于自由了，终于可以寻找自己失散已久的亲生母亲了。","","",""
"Integrated","Storyteller_","0261","Storyteller_0261","","","","那他要怎样做呢？可惜呀，现在说那些还太早了。","","",""
"Integrated","Storyteller_","0262","Storyteller_0262","","","","让我们假设他被自己的哈迪斯老爹痛打了一顿吧。","","",""
"Integrated","Storyteller_","0263","Storyteller_0263","","","","在一场惊心动魄的战斗中王子击败了冥王哈迪斯，然后王子发现…这一切都是一场梦！非常致命的噩梦。","","",""
"Integrated","Storyteller_","0264","Storyteller_0264","","","","尽管再次跨过了冥界的界限，扎格列欧斯王子还是只能止步于此了。","","",""
"Integrated","Storyteller_","0265","Storyteller_0265","","","","不如，我们让王子换一个经历，让他有一个大团圆的结局，而非这种充满残忍不幸的痛苦死亡的经历…试试吧。","","",""
"Integrated","Storyteller_","0266","Storyteller_0266","","","","在数次打败了自己的父亲后，王子开始哆嗦，然后感冒了。大家都知道，这是不治之症。","","",""
"Integrated","Storyteller_","0267","Storyteller_0267","","","","就在他探索这个世界的时候，扎格列欧斯王子发现了一个很奇特的农场，他直接大摇大摆进去了，一不小心踩到了农具，这东西猛地撞过来正中王子额头，王子就死了。","","",""
"Integrated","Storyteller_","0268","Storyteller_0268","","","","大家可能觉得王子的故事结局应该和我们这个时代的英雄结局差不多，比如这种：","","",""
"Integrated","Storyteller_","0276","Storyteller_0276","","","","古道热肠的扎格列欧斯走进了房间，里面漆黑如夜，只有一方血池。池中传来声音：“请跳进来好吗，王子殿下？”王子答道：“当然没问题啦！”","","",""
"Integrated","Storyteller_","0277","Storyteller_0277","","","","胜利近在咫尺，心急如焚的王子甚至忘了一停二看三通过，结果被一辆疾驰而来的战车狠狠地撞上了。","","",""
"Integrated","Storyteller_","0278","Storyteller_0278","","","","总是命在旦夕的王子终于达成了自己的目标，他开始回想自己一生中的所作所为。过去的无数次死亡清晰地浮现在他脑海之中，其中包括：","","",""
"Integrated","Storyteller_","0279","Storyteller_0279","","","","探索乡间地区的时候，脚滑的王子一脚踩到了一块无比古怪的黄色水果皮上，紧接着就向后栽倒下去。力道如此之大，这后果也就不用说了。","","",""
"Integrated","Storyteller_","0280","Storyteller_0280","","","","这其中有无数故事可以讲述，有伟大的成就，也有惨痛的失败。总体来说，这个故事介于两者之间。","","",""
"Integrated","Storyteller_","0281","Storyteller_0281","","","","“他不可能每次都能像这样杀掉我，”冥界王子这样想道，“他总会有无计可施的一天。”不过，王子在这方面的感觉一直都不准。","","",""
"Integrated","Storyteller_","0283","Storyteller_0283","","","","正当倒霉的王子即将取得胜利果实的时候，他的脚下突然裂开一条缝，从下面喷出一团滚烫的水汽。蒸汽，大家都是这么称呼它的！接下来的事情，大概也不用我多说了。","","",""
"Integrated","Storyteller_","0285","Storyteller_0285","","","","在不远的将来，总有一天，王子最终会越过这道坎。之后呢？他会怎样，我会怎样？这么说吧，只希望别是这样：","","",""
"Unused","Storyteller_","0294","Storyteller_0294","","","","一种大型建筑工具，也可以是一种大型破坏工具，被妥善安置在冥王圣殿内，仿佛在证明圣殿的墙壁是怎么被建造起来的。","","",""
"Unused","Storyteller_","0295","Storyteller_0295","","","","不管王子盯着这件人工制品看了多久，他都搞不明白，他委托别人在他父亲屋里造的这东西究竟是个什么。","","",""
"Unused","Storyteller_","0297","Storyteller_0297","","","","这个球形制品上面雕着奇异的星座样的图案，被孤零零地放置在圣殿长廊的角落，为那些敢于思考这种设计的人们提供了话题。","","",""
"Integrated","Storyteller_","0298","Storyteller_0298","","","","这位无比烦人的王子没有得到任何回复。","","",""
"Integrated","Storyteller_","0299","Storyteller_0299","","","","王子觉得自己还有更重要的事要做。","","",""
"Integrated","Storyteller_","0300","Storyteller_0300","","","","多死的王子只是在浪费他的时间。","","",""
"Integrated","Storyteller_","0301","Storyteller_0301","","","","或许冥界王子应该做些别的事情？","","",""
"Integrated","Storyteller_","0302","Storyteller_0302","","","","来到地表世界之后，热爱俗世的王子发现，这里也存在着各种不同的死法。其中最普通、最没劲的死法，就是混……日……等……死……","","",""
"Integrated","Storyteller_","0320","Storyteller_0320","","","","咳嗯！","","",""
"Integrated","Storyteller_","0321","Storyteller_0321","","","","什么，我--！","","",""
"Integrated","Storyteller_","0322","Storyteller_0322","","","","我从来没有！","","",""
"Integrated","Storyteller_","0323","Storyteller_0323","","","","哼！","","",""
"Integrated","Storyteller_","0324","Storyteller_0324","","","","真没礼貌！","","",""
"Integrated","Storyteller_","0325","Storyteller_0325","","","","但是——！","","",""
"Integrated","Storyteller_","0326","Storyteller_0326","","","","啊——！","","",""
"Integrated","Storyteller_","0327","Storyteller_0327","","","","哎？","","",""
"Integrated","Storyteller_","0328","Storyteller_0328","","","","什么——？","","",""
"Integrated","Storyteller_","0329","Storyteller_0329","","","","呃……","","",""
"Integrated","Storyteller_","0338","Storyteller_0338","","","","实现了自己的目标之后，冥界王子发现，他早已习惯了在刀尖上跳舞的感觉，可凡人的世界却根本无法带来这种兴奋，也没有什么值得去做的事情，实在是太无聊了。这导致了这样的结果：","","",""
"Integrated","Storyteller_","0340","Storyteller_0340","","","","于是，令人畏惧的冥王哈迪斯，与他失散已久的新娘珀尔塞福涅王后重聚了。这对夫妇与他们的长子扎格列欧斯王子一起，以更加和谐的方式，继续统治着凡间之下的世界。","","",""
"Integrated","Storyteller_","0341","Storyteller_0341","","","","冥后的归来意味着喜悦与欢庆……即使是在那充满黑暗、阴郁的亡者世界，也带来了许许多多的欢乐。","","",""
"Integrated","Storyteller_","0342","Storyteller_0342","","","","而且，即便是这么长时间过去了，奥林匹斯山的众神们对冥界发生过的事情依然一无所知。","","",""
"Integrated","Storyteller_","0343","Storyteller_0343","","","","于是，奥林匹斯的众神们一起来到了冥界，这还是他们第一次来到这里。","","",""
"Integrated","Storyteller_","0344","Storyteller_0344","","","","冥后珀尔塞福涅光彩照人地出现在了众神面前，和他们说了她曾对她儿子提到过的一切，这令他们大为震惊。","","",""
"Integrated","Storyteller_","0345","Storyteller_0345","","","","众神从震惊中缓过神来之后……庆典便开始了。","","",""
"Integrated","Storyteller_","0346","Storyteller_0346","","","","当盛大的庆典终于结束之后，所有的奥林匹斯神回到了山上，心满意足。至于冥王圣殿，恐怕就得彻底一番打扫了，从天花板到地板都得彻底清理一遍。","","",""
"Integrated","Storyteller_","0347","Storyteller_0347","","","","当然了，欢乐的庆典与哈迪斯的名声并不相符，与冥界一直以来阴森恐怖的印象也格格不入。因为如果凡人连死都不怕的话，那他们恐怕就什么都不会再怕了。","","",""
"Integrated","Storyteller_","0348","Storyteller_0348","","","","于是，这次庆典将成为这个家族的秘密，永远不会外传。","","",""
"Integrated","Storyteller_","0371","Storyteller_0371","","","","于是，足智多谋的扎格列欧斯再次穿过了他面色铁青的父亲统辖的冥界，再一次踏入了地上世界，去见容光焕发的珀尔塞福涅。","","",""
"Integrated","Storyteller_","0372","Storyteller_0372","","","","这段漫长的旅程他已经完成了很多次，而每一次都以相同的结果告终。所以……想象一下，他去了地上世界，剩下的时间足够他给作物浇浇水，进行一下清理工作……","","",""
"Integrated","Storyteller_","0376","Storyteller_0376","","","","再次到达地面世界后，扎格列欧斯深吸了一口气，闻着野花、玫瑰和类似植物的香气。其中某株植物带有极为强烈的过敏源，这导致了这样的结果：","","",""
"Integrated","Storyteller_","0377","Storyteller_0377","","","","当大嗓门的扎格列欧斯在寒风中朝母亲的小屋走去的时候，他高喊起来，听见自己的回声。这阵呼喊导致大量的冰雪从附近的山顶滚落，不断呼啸而下，然后……","","",""
"Integrated","Storyteller_","0378","Storyteller_0378","","","","通往珀尔塞福涅秘密小屋的道路实在是太复杂了。在这种情况下，行走在地表世界的扎格列欧斯七扭八拐地向前走着，结果一不小心从悬崖上掉了下来，掉到了他最熟悉的水域之中……","","",""
"Integrated","Storyteller_","0379","Storyteller_0379","","","","扎格列欧斯王子在珀尔塞福涅四季如春的奇妙花园里发现了一种绿色的植物。这种植物表皮很软，上面全是刺，而且有点小，不太容易看得到。等看到的时候，一切都来不及了……","","",""
"Integrated","Storyteller_","0380","Storyteller_0380","","","","地面世界有各种各样的动物，这给扎格列欧斯带来了无尽的快乐。","","",""
"Integrated","Storyteller_","0381","Storyteller_0381","","","","……我已经没什么新的故事要讲了，但别以为你赢了，扎格列欧斯王子……因为所有值得讲的故事……都值得一遍一遍，一遍又一遍地讲起，咱们下回再见！","","",""
"Integrated","Storyteller_","0382","Storyteller_0382","","","","扎格列欧斯曾与无数萨提尔战斗过，对长着角的生物也相当熟悉。但这次他才发现，就算是萨提尔，也没有受惊的山羊那种令人震惊的狂暴力量……","","",""
"Integrated","Storyteller_","0383","Storyteller_0383","","","","冥界里也有蝮蛇与蝰蛇，因此对扎格列欧斯而言，它们算是很熟悉的动物。","","",""
"Integrated","Storyteller_","0384","Storyteller_0384","","","","因此，当他在地表世界见到这种毒蛇的时候，他很开心，像朋友一样打了个招呼，而它也用注满剧毒的尖牙回应了他。","","",""
"Integrated","Storyteller_","0385","Storyteller_0385","","","","和以前一样，坚韧不拔的扎格列欧斯再一次实现了自己的崇高目标，只是命运女神某些安排会有所不同。或许这次他只是走了一会儿，然后就死了。","","",""
"Integrated","Storyteller_","0386","Storyteller_0386","","","","冥界王子已经见过珀尔塞福涅的漂亮小屋无数次了，但固执的他依然打算再去一次。不过，他对小屋的记忆还得更准确一些才行。","","",""
"Integrated","Storyteller_","0387","Storyteller_0387","","","","扎格列欧斯王子反思自己的胜利，意识到死亡可能有多种多样的表现形式。有的时候，死亡是缓缓而来的，而还有的时候——","","",""
"Integrated","Storyteller_","0407","Storyteller_0407","","","","她与阴沉的冥王哈迪斯私奔了，她说道；而她的儿子，这位脚底冒火的王子，渴望着与他的大家庭重建联系。","","",""
"Integrated","Storyteller_","0408","Storyteller_0408","","","","哈迪斯和珀耳塞福涅一开始反对他去地上世界。不过，他们被他的不懈坚持所感动，最后同意了任性的扎格列欧斯的做法。这是为了他自己，也是为了大家。","","",""
"Integrated","Storyteller_","0409","Storyteller_0409","","","","奥林匹斯众神听完后哑然失声，随后宙斯开始大笑起来。欢迎回家，他说道。","","",""
"Integrated","Storyteller_","0410","Storyteller_0410","","","","当他试着与其中一只动物交流的时候，它的眼神里充满了宁静与智慧。可那时王子才发现，熊其实并不像它们看起来那么温顺。","","",""
"Integrated","Storyteller_","0415","Storyteller_0415","","","","仔细检查石头的王子什么都没看见。","","",""
"Integrated","Storyteller_","0416","Storyteller_0416","","","","扎格列欧斯王子殿下决定去忙自己的事。","","",""
"Integrated","Storyteller_","0417","Storyteller_0417","","","","冥界王子痴痴地凝视着著名诗人的雕像，虽然没有这个必要。","","",""
"Integrated","Storyteller_","0418","Storyteller_0418","","","","王子一定有更重要的东西值得检查吧？","","",""
