"Nyx","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Nyx_","0099","Nyx_0099","About Persephone 2","","Nyx, if I can ever make my way from here, out to the surface... how do you know that I can find her? The instructions you gave me... how can you know for sure that's where she is, that she hasn't left, or...?","你母亲是一个意志坚定的女人。该怎么跟你说呢，孩子？我很担心她的困难处境。她离开的时候，我为她照亮了前方的路，但其实不用这样，我也能看见。希望告诉你这些不会泄露她的秘密。","","",""
"Integrated","Nyx_","0107","Nyx_0107","","Thoughtful modesty.","Megaera: ...Thank you for the advice, Nyx. I don't know what I'd do without you. Or what this House would be if not for you.","我们会尽我们所能帮你。","","",""
"Integrated","Nyx_","0115","Nyx_0115","","","What, Father can't control the pest problem? Never thought I'd be of any help rampaging through the upper levels of his domain.","做你要做的事情吧，胜利近在咫尺。","","",""
"Integrated","Nyx_","0133","Nyx_0133","","Not meant to be sinister, just matter-of-fact and polite.","I will. I promise, Nyx. And if there's anything you ever need that I can do, well... please, just ask of me.","我知道该去哪里找你，墨纪拉。","","",""
"Integrated","Nyx_","0135","Nyx_0135","","","I hope that you are right. You always have been, it's just that... I wish I had your confidence in this.","这是给你的。","","",""
"Integrated","Nyx_","0137","Nyx_0137","","","I understand, and I will do my best. Thank you for taking care of everything. I've every faith in you, Mother. And in this House. Farewell.","再见了。","","",""
"Integrated","Nyx_","0138","Nyx_0138","With Thanatos Chat -- Matters of the Heart","Thanatos is asking about whether he's reading his relationship with Zagreus correctly, and whether his mother approves. She says he is, and she does.","Thanatos: You would know best about this, Mother, so, please, tell me what you think. Because if I am wrong...","我相信你没错，我的孩子，我相信你没错。而且，至于我的想法……看到你最近心情变得好一些了，我很高兴，你工作真是非常努力。","","",""
"Integrated","Nyx_","0139","Nyx_0139","","","What does work have to do with anything? Other than, all this really is quite the distraction from it.","时不时地从工作中抽身也是有益处的，塔纳托斯。从长远来看，你可能会发现这样会对你的工作有益处。不过，如果那是你唯一在意的事情的话，那这件事情咱们就先不讨论了。","","",""
"Unused","Nyx_","0140","Nyx_0140","First Clear","","","你的父亲败给了你，就像他的父亲也曾败给了他。不过，你比他仁慈多了，至少他还在这里。我知道这最多只能算作一次痛苦的胜利。","","",""
"Unused","Nyx_","0141","Nyx_0141","","","Oh, I don't know, it honestly felt pretty high up there as victories go. The only shame is cutting Father down to size changes so little around here on its own. He's going to pretend like everything is still OK.","如果你可以打败他一次，就说明你有能力达成自己的真正目标。我从来不曾怀疑过你，除了……我知道你肯定付出很多，才能走到现在这一步。","","",""
"Unused","Nyx_","0173","Nyx_0173","","","I have to say, and I do mean this as a compliment: it's hard for me to imagine Night Incarnate herself fashioning these little keepsakes to be given between friends.","它们虽然其貌不扬，但不要低估它们。因为它们是超凡之力的催化剂，是两个灵魂之间牢不可破的纽带。","","",""
"Integrated","Nyx_","0181","Nyx_0181","","Tender moment between foster mother and son.","Well, I mean every word. I love you, Nyx.","我也爱你，孩子。","","",""
"Integrated","Nyx_","0201","Nyx_0201","","Telling Dusa as she leaves. Subtext is: ""Don't screw up again.""","What, I, Miss Nyx, you mean... like, start right now? Now now? I mean, I, I don't have a lot of pressing obligations, so, I'll do it, YES!! I accept! I'm so excited to be back! Where do I even start, I can survey the lounge, sweep the cobwebs, walk Cerberus, check the pantry, ah, OK, I'm off!!","尽量努力吧。","","",""
"Integrated","Nyx_","0204","Nyx_0204","Greetings","Dignified nod / acknowledgement.","","孩子。","","",""
"Integrated","Nyx_","0205","Nyx_0205","","Pleased to see him.","","我的孩子。","","",""
"Integrated","Nyx_","0206","Nyx_0206","","","","你回来了。","","",""
"Integrated","Nyx_","0207","Nyx_0207","","","","你归回了。","","",""
"Integrated","Nyx_","0208","Nyx_0208","","","","是你。","","",""
"Integrated","Nyx_","0209","Nyx_0209","","","","你回来了。","","",""
"Integrated","Nyx_","0210","Nyx_0210","","","","你到了。","","",""
"Integrated","Nyx_","0211","Nyx_0211","","","","临时挫折。","","",""
"Integrated","Nyx_","0212","Nyx_0212","","","","啊。","","",""
"Integrated","Nyx_","0213","Nyx_0213","","","","别被看见。","","",""
"Integrated","Nyx_","0214","Nyx_0214","","","","你来了。","","",""
"Integrated","Nyx_","0215","Nyx_0215","","","","你做得很好。","","",""
"Integrated","Nyx_","0216","Nyx_0216","","","","你逃出了。","","",""
"Integrated","Nyx_","0217","Nyx_0217","","","","你逃到了地面……","","",""
"Integrated","Nyx_","0218","Nyx_0218","","","","你找到她了吗？","","",""
"Integrated","Nyx_","0219","Nyx_0219","","","","做的好。","","",""
"Integrated","Nyx_","0220","Nyx_0220","","","","终于来了。","","",""
"Integrated","Nyx_","0221","Nyx_0221","","","","和我谈谈吧。","","",""
"Integrated","Nyx_","0222","Nyx_0222","","","","要和我谈谈吗，孩子？","","",""
"Integrated","Nyx_","0223","Nyx_0223","","","","来和我谈谈吧。","","",""
"Darren","Nyx_","0224","Nyx_0224","","","","等等。","","",""
"Integrated","Nyx_","0225","Nyx_0225","","","","等一下。","","",""
"Darren","Nyx_","0226","Nyx_0226","","","","来吧。","","",""
"Integrated","Nyx_","0227","Nyx_0227","","","","孩子？","","",""
"Darren","Nyx_","0228","Nyx_0228","","","","愿暮夜和黑暗，能为你指路。","","",""
"Darren","Nyx_","0229","Nyx_0229","","","","那就这样吧。","","",""
"Darren","Nyx_","0230","Nyx_0230","","","","如你所言。","","",""
"Darren","Nyx_","0231","Nyx_0231","","","","如你所愿。","","",""
"Integrated","Nyx_","0232","Nyx_0232","","","","那就这样。","","",""
"Darren","Nyx_","0233","Nyx_0233","","","","那就如此。","","",""
"Integrated","Nyx_","0234","Nyx_0234","","","","好吧。","","",""
"Integrated","Nyx_","0235","Nyx_0235","","","","那好吧。","","",""
"Darren","Nyx_","0236","Nyx_0236","","","","如你所愿。","","",""
"Darren","Nyx_","0237","Nyx_0237","","","","愿你所想。","","",""
"Integrated","Nyx_","0238","Nyx_0238","","","","我很感激。","","",""
"Integrated","Nyx_","0239","Nyx_0239","","","","感激不尽。","","",""
"Integrated","Nyx_","0240","Nyx_0240","","","","谢谢你，我的孩子。","","",""
"Darren","Nyx_","0241","Nyx_0241","","","","这使我很感激，孩子。","","",""
"Integrated","Nyx_","0242","Nyx_0242","","","","我向你道谢，孩子。","","",""
"Integrated","Nyx_","0243","Nyx_0243","","","","你太慷慨了。","","",""
"Integrated","Nyx_","0244","Nyx_0244","","","","你真是慷慨。","","",""
"Integrated","Nyx_","0245","Nyx_0245","","","","孩子，你真体贴。","","",""
"Darren","Nyx_","0246","Nyx_0246","","","","我有东西给你。","","",""
"Darren","Nyx_","0247","Nyx_0247","","","","这是给你的。","","",""
"Darren","Nyx_","0248","Nyx_0248","","","","这是属于你的。","","",""
"Darren","Nyx_","0249","Nyx_0249","","","","给你，我的孩子。","","",""
"Darren","Nyx_","0250","Nyx_0250","","","","孩子，请收下这个。","","",""
"Darren","Nyx_","0251","Nyx_0251","","","","这是你的，请收下。","","",""
"Darren","Nyx_","0252","Nyx_0252","","","","给你。","","",""
"Darren","Nyx_","0253","Nyx_0253","","","","来吧。","","",""
"Darren","Nyx_","0254","Nyx_0254","","","","好了。","","",""
"Integrated","Nyx_","0255","Nyx_0255","","","","嗯嗯。","","",""
"Darren","Nyx_","0256","Nyx_0256","","","","你的。","","",""
"Darren","Nyx_","0257","Nyx_0257","","","","成长。","","",""
"Darren","Nyx_","0258","Nyx_0258","","","","黑暗。","","",""
"Darren","Nyx_","0259","Nyx_0259","","","","那真是不幸。","","",""
"Darren","Nyx_","0260","Nyx_0260","","","","真是不希望的的结果。","","",""
"Integrated","Nyx_","0261","Nyx_0261","","","","命运是无情的。","","",""
"Integrated","Nyx_","0262","Nyx_0262","","","","又一个须要跨过的挫折。","","",""
"Darren","Nyx_","0263","Nyx_0263","","","","令人失望。","","",""
"Darren","Nyx_","0264","Nyx_0264","","","","我就担心这会发生。","","",""
"Darren","Nyx_","0265","Nyx_0265","","","","我不悦了。","","",""
"Darren","Nyx_","0266","Nyx_0266","","","","我绝不容许。","","",""
"Darren","Nyx_","0267","Nyx_0267","","","","你最好不要这样测试我的耐心。","","",""
"Integrated","Nyx_","0268","Nyx_0268","","","","如此激怒我，是不明智的。","","",""
"Darren","Nyx_","0269","Nyx_0269","","","","真是疏忽大意。","","",""
"Darren","Nyx_","0270","Nyx_0270","","","","我不能容忍这样的行为。","","",""
"Darren","Nyx_","0271","Nyx_0271","","","","真是没有意义的行为。","","",""
"Darren","Nyx_","0272","Nyx_0272","","","","请让我静一静，孩子。","","",""
"Integrated","Nyx_","0273","Nyx_0273","","","","请让我静一静。","","",""
"Darren","Nyx_","0274","Nyx_0274","","","","我希望独处一会。","","",""
"Darren","Nyx_","0275","Nyx_0275","","","","真的……？","","",""
"Darren","Nyx_","0276","Nyx_0276","","","","以黑暗之名……","","",""
"Darren","Nyx_","0277","Nyx_0277","","","","难道……？","","",""
"Darren","Nyx_","0278","Nyx_0278","","","","但这不可能。","","",""
"Darren","Nyx_","0279","Nyx_0279","","","","你确认……？","","",""
"Darren","Nyx_","0280","Nyx_0280","","","","我不敢相信……","","",""
"Darren","Nyx_","0281","Nyx_0281","","","","真的吗……？","","",""
"Darren","Nyx_","0282","Nyx_0282","","","","我就知道你的能力远远足够。","","",""
"Integrated","Nyx_","0283","Nyx_0283","","","","我从没怀疑过你。","","",""
"Integrated","Nyx_","0284","Nyx_0284","","","","我就猜到你会成功。","","",""
"Integrated","Nyx_","0285","Nyx_0285","","","","做的非常好。","","",""
"Integrated","Nyx_","0286","Nyx_0286","","","","做得天衣无缝。","","",""
"Unused","Nyx_","0287","Nyx_0287","","","","你的父亲败给了你，就像他的父亲也曾败给了他。不过，你比他仁慈多了，我知道这最多只能算作一次痛苦的胜利。不过更重要的事情是……你找到她了吗？有没有找到那条连我都不曾发现的小路？","","",""
"Unused","Nyx_","0288","Nyx_0288","","","","你可以去问问他们，孩子。如果你能找到她的话……你不正打算再这么做一次吗？去吧，你的问题都可以问她，所有的问题都可以问，你有的是机会。","","",""
"Unused","Nyx_","0289","Nyx_0289","","","","你做得到，你已经做到了。去找她吧，孩子。她没办法冒险回到这个地方，但她正在等着你呢。","","",""
"Unused","Nyx_","0290","Nyx_0290","","","","我的孩子……这很难开口，但……我确实不知道。是啊，我的力量的确延伸到地表之上，但我从未亲自去过那里。因此我没有料到你会受到如此深的影响。在我看来，你和你父亲的命运十分相似。","","",""
"Unused","Nyx_","0291","Nyx_0291","","","","所以我的猜想是，你被某种力量束缚在这个世界，这种力量甚至比我的力量还强。我想知道……如果每次都只能与珀尔塞福涅见面一会儿……你是否还是会去找她呢？","","",""
"Unused","Nyx_","0292","Nyx_0292","","","","既然如此，就下定决心，再次去找她吧。尽可能地抓紧你们能在一起的短暂时间，就像凡人那样。","","",""
"Integrated","Nyx_","0293","Nyx_0293","","","","等等……","","",""
"Unused","Nyx_","0294","Nyx_0294","","","","孩子，你走之前我快速说几句。我知道，就算你能实现自己的目标，你能在地面世界停留的时间也会非常短暂……不过可以替我告诉珀尔塞福涅吗？我一直恪守着对她的承诺，告诉她，我很怀念和她一起在这里度过的时光。拜托了，替我把这些话转告给她吧。","","",""
"Unused","Nyx_","0295","Nyx_0295","","","","我认为她并没有感到过归属感，她不得不接受这个非常难以接受的变化。而且……她担心她最终可能会在奥林匹斯山与冥界之间不得安生，她担心自己可能会挑起战争。","","",""
"Integrated","Nyx_","0298","Nyx_0298","","","","谢谢你，我的儿子。","","",""
"Integrated","Nyx_","0303","Nyx_0303","","","","咱们一起弄清楚吧。","","",""
"Integrated","Nyx_","0312","Nyx_0312","","","","是的。","","",""
"Integrated","Nyx_","0316","Nyx_0316","","","","确实如此。","","",""
"Integrated","Nyx_","0319","Nyx_0319","","","","不错的主意。","","",""
"Integrated","Nyx_","0343","Nyx_0343","","","","没错， 正是如此。","","",""
"Unused","Nyx_","0375","Nyx_0375","","","","这件事情我可不能帮你了，孩子。","","",""
"Unused","Nyx_","0378","Nyx_0378","","","","我没办法在说话的同时引导黑暗之力，孩子。","","",""
"Integrated","Nyx_","0381","Nyx_0381","","","","这是我该做的事情。奥林匹斯的众神会是我们强大的盟友，但不要和他们说他们不知道的事情，这样对我们都好。","","",""
"Integrated","Nyx_","0384","Nyx_0384","","","","好吧，去吧。","","",""
"Integrated","Nyx_","0408","Nyx_0408","","","","很好。","","",""
"Integrated","Nyx_","0410","Nyx_0410","","","","她是这么说的，是吗……？","","",""
"Integrated","Nyx_","0411","Nyx_0411","","","","扎格列欧斯。","","",""
"Integrated","Nyx_","0412","Nyx_0412","","","","扎格列欧斯？","","",""
"Integrated","Nyx_","0413","Nyx_0413","","","","等等，孩子。","","",""
"Integrated","Nyx_","0414","Nyx_0414","","","","欢迎来到混沌世界。","","",""
"Integrated","Nyx_","0415","Nyx_0415","","","","你找到我们了。","","",""
"Integrated","Nyx_","0416","Nyx_0416","","","","我们都在这里。","","",""
"Integrated","Nyx_","0417","Nyx_0417","","","","你来了。","","",""
"Integrated","Nyx_","0418","Nyx_0418","","","","真令人惊喜。","","",""
"Darren","Nyx_","0452","Nyx_0452","Mission Assignments (speculative context)","","","我有个新的任务要交给你，孩子。","","",""
"Darren","Nyx_","0453","Nyx_0453","","","","这件事情需要你留心一下。","","",""
"Darren","Nyx_","0456","Nyx_0456","","","","又有情况发生了，孩子。","","",""
"Darren","Nyx_","0457","Nyx_0457","","","","有件事情我需要你的帮忙，孩子。","","",""
"Darren","Nyx_","0458","Nyx_0458","Nonverbal Emotes","Knowing. Three or four short ""hm"" sounds.","","<轻笑>","","",""
"Darren","Nyx_","0459","Nyx_0459","","Slightly amused.","","<轻笑>","","",""
"Darren","Nyx_","0460","Nyx_0460","","Wry, to herself.","","<大笑>","","",""
"Darren","Nyx_","0461","Nyx_0461","","Slightly amused.","","<大笑>","","",""
"Unused","Nyx_","0452","Nyx_0452","","","","我有个新的任务要交给你，孩子。","","",""
"Unused","Nyx_","0453","Nyx_0453","","","","这件事情需要你留心一下。","","",""
"Unused","Nyx_","0456","Nyx_0456","","","","又有情况发生了，孩子。","","",""
"Unused","Nyx_","0457","Nyx_0457","","","","有件事情我需要你的帮忙，孩子。","","",""
"Unused","Nyx_","0458","Nyx_0458","","","","<轻笑>","","",""
"Unused","Nyx_","0459","Nyx_0459","","","","<轻笑>","","",""
"Unused","Nyx_","0460","Nyx_0460","","","","<大笑>","","",""
"Unused","Nyx_","0461","Nyx_0461","","","","<大笑>","","",""
"Integrated","Nyx_","0462","Nyx_0462","","","","<得意>","","",""
"Unused","Nyx_","0463","Nyx_0463","","","","<叹气>","","",""
"Unused","Nyx_","0464","Nyx_0464","","","","<叹气>","","",""
"Unused","Nyx_","0465","Nyx_0465","","","","嗯嗯。","","",""
"Integrated","Nyx_","0471","Nyx_0471","","","","好的。","","",""
"Integrated","Nyx_","0474","Nyx_0474","","","","干得漂亮，孩子。","","",""
"Integrated","Nyx_","0475","Nyx_0475","","","","值得称赞的结果。","","",""
"Integrated","Nyx_","0476","Nyx_0476","","","","你做得很好。","","",""
"Integrated","Nyx_","0477","Nyx_0477","","","","干得漂亮。","","",""
"Integrated","Nyx_","0478","Nyx_0478","","","","祝你成功永驻。","","",""
"Integrated","Nyx_","0479","Nyx_0479","","","","这个王国很强大。","","",""
"Integrated","Nyx_","0480","Nyx_0480","","","","圣殿的一切井井有条。","","",""
