"Aphrodite","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Integrated","Aphrodite_","0160","Aphrodite_0160","","","我知道你对我是真心实意的！","","",""
"Integrated","Aphrodite_","0161","Aphrodite_0161","","","我就知道你会来我身边。","","",""
"Integrated","Aphrodite_","0162","Aphrodite_0162","","","你还能选谁呢？","","",""
"Integrated","Aphrodite_","0163","Aphrodite_0163","","","永远听从你的真心。","","",""
"Integrated","Aphrodite_","0164","Aphrodite_0164","","","你的本心永远不会使你偏离正道。","","",""
"Integrated","Aphrodite_","0165","Aphrodite_0165","","","真是个明智的决定啊，亲爱的。","","",""
"Integrated","Aphrodite_","0166","Aphrodite_0166","","","我要让他们心如刀割！","","",""
"Integrated","Aphrodite_","0167","Aphrodite_0167","","","来让事情变得复杂一点吧，嗯？","","",""
"Integrated","Aphrodite_","0168","Aphrodite_0168","","","哦，这是我的荣幸！","","",""
"Integrated","Aphrodite_","0169","Aphrodite_0169","","","纯粹的激情，燃烧吧！","","",""
"Integrated","Aphrodite_","0170","Aphrodite_0170","","","亲爱的，你可真是勇敢啊！","","",""
"Integrated","Aphrodite_","0171","Aphrodite_0171","","","你现在知道找我帮忙了？","","",""
"Integrated","Aphrodite_","0172","Aphrodite_0172","","","我下次要伤透你的心！","","",""
"Integrated","Aphrodite_","0194","Aphrodite_0194","","","你伤透了我的心，我就要粉碎你的身体，小小神。","","",""
"Integrated","Aphrodite_","0195","Aphrodite_0195","","","你应该崇拜我，而不是激怒我。","","",""
"Integrated","Aphrodite_","0196","Aphrodite_0196","","","别再像那样拒绝我的好意了。","","",""
