"Achilles","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Achilles_","0341","Achilles_0341","","","","这么说的话，听起来还真是挺荒谬的。","","",""
"Integrated","Achilles_","0347","Achilles_0347","","","","哈，我猜你说得没错。","","",""
"Integrated","Achilles_","0348","Achilles_0348","","","","你好，王子殿下。","","",""
"Integrated","Achilles_","0349","Achilles_0349","","","","你好。","","",""
"Integrated","Achilles_","0350","Achilles_0350","","","","王子殿下。","","",""
"Integrated","Achilles_","0351","Achilles_0351","","","","你还好吗？","","",""
"Integrated","Achilles_","0352","Achilles_0352","","","","啊。","","",""
"Integrated","Achilles_","0353","Achilles_0353","","","","……要不是因为有你，小普，我甚至不愿意去想我会做什么。我猜，要是那样的话，那场战争的结局恐怕就要不一样了。","","",""
"Integrated","Achilles_","0359","Achilles_0359","","","","谢谢您，黑夜女神。","","",""
"Integrated","Achilles_","0364","Achilles_0364","","","","哈哈哈，这……服了你了。","","",""
"Integrated","Achilles_","0366","Achilles_0366","","","","那就信你的了。","","",""
"Integrated","Achilles_","0369","Achilles_0369","","","","小心行事。","","",""
"Integrated","Achilles_","0371","Achilles_0371","","","","那种人，我了解。两种都了解。","","",""
"Integrated","Achilles_","0373","Achilles_0373","","","","再接再厉。","","",""
"Integrated","Achilles_","0374","Achilles_0374","","","","你确定吗，小伙子？","","",""
"Integrated","Achilles_","0375","Achilles_0375","","","","非常抱歉，主人……","","",""
"Integrated","Achilles_","0376","Achilles_0376","","","","希望你父亲不会介意……！","","",""
"Integrated","Achilles_","0377","Achilles_0377","","","","你父亲会生气的！","","",""
"Integrated","Achilles_","0379","Achilles_0379","","","","也许二者皆有。我遇到过这种情况。","","",""
