"Poseidon","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Poseidon_","0109","Poseidon_0109","","","","你敢这样对你的叔叔？","","",""
"Darren","Poseidon_","0110","Poseidon_0110","","","","没兴趣，侄儿。","","",""
"Darren","Poseidon_","0111","Poseidon_0111","","","","我现在有点忙。","","",""
"Darren","Poseidon_","0112","Poseidon_0112","","","","现在不要烦我。","","",""
"Darren","Poseidon_","0113","Poseidon_0113","","","","嗯这可厉害了！","","",""
"Darren","Poseidon_","0114","Poseidon_0114","","","","嗯这可厉害了…！","","",""
"Integrated","Poseidon_","0115","Poseidon_0115","","","","以我的名义！","","",""
"Darren","Poseidon_","0116","Poseidon_0116","","","","以我的名义…！","","",""
"Darren","Poseidon_","0117","Poseidon_0117","","","","荒谬！","","",""
"Darren","Poseidon_","0118","Poseidon_0118","","","","荒谬…！","","",""
"Darren","Poseidon_","0119","Poseidon_0119","","","","怎么可能！","","",""
"Darren","Poseidon_","0120","Poseidon_0120","","","","怎么可能…！","","",""
"Integrated","Poseidon_","0121","Poseidon_0121","","","","什么？","","",""
"Darren","Poseidon_","0122","Poseidon_0122","","","","什么…？","","",""
"Darren","Poseidon_","0123","Poseidon_0123","","","","这才是我的侄儿！","","",""
"Darren","Poseidon_","0124","Poseidon_0124","","","","干得真漂亮！","","",""
"Darren","Poseidon_","0125","Poseidon_0125","","","","噢，嚯嚯嚯，不错！","","",""
"Darren","Poseidon_","0126","Poseidon_0126","","","","干得好，小哈迪斯！","","",""
"Darren","Poseidon_","0127","Poseidon_0127","","","","我就知道你可以的！","","",""
"Unused","Poseidon_","0133","Poseidon_0133","","","","有些事我要告诉你，小哈迪斯：我们家一直留着一个传家宝！！如果你够格就可以来看看。我就知道你够格！现在我将赐予你…最纯粹，最放肆的狂怒！！","","",""
"To Be Integrated","Poseidon_","0135","Poseidon_0135","","","","哈！我又赢了，哈哈！那个赫耳墨斯、他要多少敏捷有多少敏捷。但我更强，所以我最快！","","",""
"Integrated","Poseidon_","0148","Poseidon_0148","","","","","","",""
"Integrated","Poseidon_","0149","Poseidon_0149","","","","","","",""
"Integrated","Poseidon_","0150","Poseidon_0150","","","","","","",""
"Integrated","Poseidon_","0151","Poseidon_0151","","","","","","",""
"Integrated","Poseidon_","0152","Poseidon_0152","","","","","","",""
"Integrated","Poseidon_","0153","Poseidon_0153","","","","","","",""
"Integrated","Poseidon_","0154","Poseidon_0154","","","","","","",""
"Integrated","Poseidon_","0155","Poseidon_0155","","","","","","",""
"Integrated","Poseidon_","0156","Poseidon_0156","","","","","","",""
"Integrated","Poseidon_","0202","Poseidon_0202","","","","哈哈，和我想得一样！","","",""
"Integrated","Poseidon_","0203","Poseidon_0203","","","","没得选了，是吧？！","","",""
"Integrated","Poseidon_","0204","Poseidon_0204","","","","真是个不错的选择！","","",""
"Integrated","Poseidon_","0205","Poseidon_0205","","","","啊，哈哈哈，就是这样！","","",""
"Integrated","Poseidon_","0206","Poseidon_0206","","","","选得好，小哈迪斯！","","",""
"Integrated","Poseidon_","0207","Poseidon_0207","","","","选得真不错，侄子！","","",""
"Integrated","Poseidon_","0208","Poseidon_0208","","","","侄子，你下次最好别再这么蠢了！","","",""
"Integrated","Poseidon_","0209","Poseidon_0209","","","","你要是敢蔑视大海，大海就会吞噬你！","","",""
"Integrated","Poseidon_","0210","Poseidon_0210","","","","别忘了，下次要和我并肩作战，侄子！","","",""
"Integrated","Poseidon_","0211","Poseidon_0211","","","","是时候搞出点动静了！","","",""
"Integrated","Poseidon_","0212","Poseidon_0212","","","","驾驭大海的力量吧！","","",""
"Integrated","Poseidon_","0213","Poseidon_0213","","","","乘风破浪吧，侄子！","","",""
"Integrated","Poseidon_","0214","Poseidon_0214","","","","让你见识见识真正的海洋之力吧！","","",""
"Integrated","Poseidon_","0215","Poseidon_0215","","","","你这种时候想让我帮忙了？！","","",""
"Integrated","Poseidon_","0216","Poseidon_0216","","","","你一点羞耻心都没有吗，侄子？！","","",""
"Integrated","Poseidon_","0217","Poseidon_0217","","","","哦，现在你想让我帮忙了，是吧？！","","",""
