"Zeus","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Integrated","Zeus_","0071","Zeus_0071","","","我得教你点尊重！","","",""
"Darren","Zeus_","0077","Zeus_0077","","","你好啊，我的侄儿！","","",""
"Integrated","Zeus_","0078","Zeus_0078","","","过的怎样，年轻人。","","",""
"Darren","Zeus_","0079","Zeus_0079","","","见到你非常高兴，扎格列欧斯。","","",""
"Integrated","Zeus_","0080","Zeus_0080","","","祝福你，侄儿！","","",""
"Integrated","Zeus_","0081","Zeus_0081","","","我哥哥的儿子，最近过的怎样？","","",""
"Integrated","Zeus_","0082","Zeus_0082","","","那就如此。","","",""
"Integrated","Zeus_","0083","Zeus_0083","","","没问题。","","",""
"Integrated","Zeus_","0084","Zeus_0084","","","小意思。","","",""
"Integrated","Zeus_","0085","Zeus_0085","","","有何不可呢？","","",""
"Darren","Zeus_","0086","Zeus_0086","","","很好！","","",""
"Integrated","Zeus_","0087","Zeus_0087","","","非常感谢。","","",""
"Integrated","Zeus_","0088","Zeus_0088","","","我很荣幸！","","",""
"Integrated","Zeus_","0089","Zeus_0089","","","我很喜欢。","","",""
"Integrated","Zeus_","0090","Zeus_0090","","","都是你的功劳，年轻人。","","",""
"Integrated","Zeus_","0091","Zeus_0091","","","我会记住的，侄儿。","","",""
"Integrated","Zeus_","0092","Zeus_0092","","","祝福你，扎格列欧斯。","","",""
"Integrated","Zeus_","0093","Zeus_0093","","","你真是慷慨。","","",""
"Darren","Zeus_","0094","Zeus_0094","","","谨此表达我的谢意。","","",""
"Darren","Zeus_","0095","Zeus_0095","","","请收下我的一点薄礼。","","",""
"Darren","Zeus_","0096","Zeus_0096","","","请务必收下。","","",""
"Integrated","Zeus_","0097","Zeus_0097","","","我这有东西给你。","","",""
"Darren","Zeus_","0098","Zeus_0098","","","这个，侄儿，是给你的。","","",""
"Darren","Zeus_","0099","Zeus_0099","","","真是令人失望。","","",""
"Darren","Zeus_","0100","Zeus_0100","","","只要稍有远见，这样的事情就能避免。","","",""
"Darren","Zeus_","0101","Zeus_0101","","","也许我就不该期望太多。","","",""
"Darren","Zeus_","0102","Zeus_0102","","","真是个大错。","","",""
"Darren","Zeus_","0103","Zeus_0103","","","这肯定不是故意的。","","",""
"Darren","Zeus_","0104","Zeus_0104","","","这可不太妙。","","",""
"Integrated","Zeus_","0105","Zeus_0105","","","别犯傻，年轻人。","","",""
"Integrated","Zeus_","0106","Zeus_0106","","","你该比这明智，侄儿。","","",""
"Integrated","Zeus_","0107","Zeus_0107","","","你真是你爸的儿子。","","",""
"Integrated","Zeus_","0108","Zeus_0108","","","太放肆了，年轻人。","","",""
"Darren","Zeus_","0109","Zeus_0109","","","我还以为你不会干这种蠢事呢。","","",""
"Darren","Zeus_","0110","Zeus_0110","","","太鲁莽了，扎格列欧斯。","","",""
"Integrated","Zeus_","0111","Zeus_0111","","","最好不要惹我生气，我的侄儿。","","",""
"Darren","Zeus_","0112","Zeus_0112","","","现在没什么好谈的了。","","",""
"Darren","Zeus_","0113","Zeus_0113","","","我现在有其他事情要做，抱歉。","","",""
"Darren","Zeus_","0114","Zeus_0114","","","下次再来找我吧。","","",""
"Darren","Zeus_","0115","Zeus_0115","","","我刚刚看到的是什么……？","","",""
"Darren","Zeus_","0116","Zeus_0116","","","这可真的是太奇怪了。","","",""
"Integrated","Zeus_","0117","Zeus_0117","","","好吧，真是没想到。","","",""
"Darren","Zeus_","0118","Zeus_0118","","","什么，我简直不敢相信……！","","",""
"Darren","Zeus_","0119","Zeus_0119","","","怎么会这样？","","",""
"Darren","Zeus_","0120","Zeus_0120","","","真是出色啊，扎格列欧斯。","","",""
"Darren","Zeus_","0121","Zeus_0121","","","你的天赋依旧令人瞩目，侄儿。","","",""
"Darren","Zeus_","0122","Zeus_0122","","","干的非常好。","","",""
"Darren","Zeus_","0123","Zeus_0123","","","你还真是有天赋啊！","","",""
"Darren","Zeus_","0124","Zeus_0124","","","干得真不错，年轻人。","","",""
"Unused","Zeus_","0128","Zeus_0128","","","我刚刚见到的是什么……？","","",""
"Unused","Zeus_","0129","Zeus_0129","","","这可真的是太奇怪了。","","",""
"Unused","Zeus_","0130","Zeus_0130","","","好吧，真是没想到。","","",""
"Unused","Zeus_","0131","Zeus_0131","","","什么，我简直不敢相信……！","","",""
"Unused","Zeus_","0132","Zeus_0132","","","怎么会这样？","","",""
"Integrated","Zeus_","0165","Zeus_0165","","","明智的决定，年轻人！","","",""
"Integrated","Zeus_","0166","Zeus_0166","","","对你而言不过是个小测验而已，是吧，侄儿？","","",""
"Integrated","Zeus_","0167","Zeus_0167","","","哦！我真为你感到骄傲！","","",""
"Integrated","Zeus_","0168","Zeus_0168","","","这决定也不那么难做嘛！","","",""
"Integrated","Zeus_","0169","Zeus_0169","","","祝贺、祝贺，你选择正确！","","",""
"Integrated","Zeus_","0170","Zeus_0170","","","啊，年轻人，你伤了某人的心了！","","",""
"Integrated","Zeus_","0171","Zeus_0171","","","该出击了！","","",""
"Integrated","Zeus_","0172","Zeus_0172","","","哈，你看着，年轻人！","","",""
"Integrated","Zeus_","0173","Zeus_0173","","","我现在就把他们打倒！","","",""
"Integrated","Zeus_","0174","Zeus_0174","","","我能搞定这个！","","",""
"Integrated","Zeus_","0175","Zeus_0175","","","你吃了熊心豹子胆啦！","","",""
"Integrated","Zeus_","0176","Zeus_0176","","","我该教训教训你了！","","",""
"Integrated","Zeus_","0177","Zeus_0177","","","你脑子进水了吗，侄儿？！","","",""
"Integrated","Zeus_","0178","Zeus_0178","","","现在知道来求我网开一面了，扎格列欧斯？","","",""
"Integrated","Zeus_","0179","Zeus_0179","","","快速死亡是一种非常仁慈的惩罚手段。","","",""
"Integrated","Zeus_","0180","Zeus_0180","","","我可不是靠原谅他人罪过才当上众神之王的，年轻人。","","",""
"Integrated","Zeus_","0181","Zeus_0181","","","你不可能躲过天界。","","",""
"Integrated","Zeus_","0182","Zeus_0182","","","受死吧。","","",""
"Integrated","Zeus_","0232","Zeus_0232","","","我说，哥哥！你和你的另一半让我们度过了一个愉快的夜晚！知道珀尔塞福涅安然无恙后，我们都如释重负。而且我的好侄子还是她的好儿子！","","",""
"Integrated","Zeus_","0247","Zeus_0247","","","噢，哈哈，当然了，当然了，哈迪斯！再见了！以后别忘了常联系！","","",""
